time,/gem/base_footprint/odom.x,/gem/base_footprint/odom.y,/gem/base_footprint/odom.z,/lio_sam_lo/mapping/odometry.x,/lio_sam_lo/mapping/odometry.y,/lio_sam_lo/mapping/odometry.z
16967.936000000,-16.8667,-5.23072,-0.100033,13.6561,-3.91153,-0.188333
16968.140000000,-16.7527,-5.25594,-0.100033,13.7713,-3.9084,-0.191981
16968.344000000,-16.6375,-5.27691,-0.100033,13.8855,-3.90086,-0.19289
16968.548000000,-16.5187,-5.29432,-0.100032,14.0105,-3.89593,-0.194651
16968.752000000,-16.4026,-5.30792,-0.100032,14.1192,-3.89027,-0.194161
16968.956000000,-16.2934,-5.31832,-0.100032,14.2248,-3.8876,-0.197228
16969.160000000,-16.1929,-5.32641,-0.100032,14.3317,-3.88675,-0.19925
16969.364000000,-16.0994,-5.33315,-0.100033,14.4256,-3.88989,-0.203102
16969.568000000,-16.0062,-5.3396,-0.100033,14.5187,-3.89621,-0.210889
16969.738000000,-15.9254,-5.34518,-0.100033,14.6092,-3.9028,-0.212108
16969.942000000,-15.8248,-5.35212,-0.100033,14.7077,-3.90876,-0.214404
16970.146000000,-15.7206,-5.35932,-0.100033,14.8025,-3.91528,-0.218432
16970.350000000,-15.6131,-5.36675,-0.100033,14.8921,-3.92174,-0.217519
16970.520000000,-15.5213,-5.37308,-0.100033,14.9902,-3.92879,-0.219264
16970.758000000,-15.3898,-5.38216,-0.100033,15.1083,-3.93825,-0.223411
16970.928000000,-15.294,-5.38878,-0.100033,15.2218,-3.94502,-0.225125
16971.132000000,-15.1772,-5.39685,-0.100033,15.3403,-3.95252,-0.226947
16971.302000000,-15.0784,-5.40367,-0.100033,15.4369,-3.96033,-0.230468
16971.472000000,-14.9785,-5.41057,-0.100033,15.5423,-3.96768,-0.233002
16971.676000000,-14.8574,-5.41893,-0.100033,15.6742,-3.9773,-0.238396
16971.846000000,-14.7554,-5.42597,-0.100033,15.784,-3.98468,-0.247508
16972.050000000,-14.632,-5.43449,-0.100033,15.8952,-3.99151,-0.254306
16972.254000000,-14.5077,-5.44308,-0.100033,16.0021,-3.99933,-0.254492
16972.458000000,-14.3824,-5.45173,-0.100033,16.1087,-4.0071,-0.254607
16972.628000000,-14.2775,-5.45898,-0.100033,16.2313,-4.016,-0.257466
16972.832000000,-14.151,-5.46771,-0.100033,16.3735,-4.02621,-0.262148
16973.036000000,-14.0239,-5.47649,-0.100033,16.4985,-4.03429,-0.265965
16973.240000000,-13.8963,-5.4853,-0.100033,16.6263,-4.0428,-0.270823
16973.444000000,-13.7684,-5.49413,-0.100033,16.7573,-4.05248,-0.280185
16973.614000000,-13.6615,-5.50152,-0.100033,16.8832,-4.05925,-0.288384
16973.818000000,-13.5328,-5.5104,-0.100033,16.995,-4.06734,-0.292907
16973.988000000,-13.4239,-5.51792,-0.100033,17.0931,-4.07597,-0.295599
16974.192000000,-13.289,-5.52724,-0.100033,17.2071,-4.0853,-0.296538
16974.362000000,-13.1731,-5.53524,-0.100033,17.326,-4.09476,-0.300595
16974.532000000,-13.0545,-5.54343,-0.100033,17.4478,-4.10256,-0.304317
16974.702000000,-12.9334,-5.5518,-0.100033,17.5822,-4.10993,-0.307955
16974.872000000,-12.81,-5.56032,-0.100033,17.7064,-4.11821,-0.311339
16975.042000000,-12.6845,-5.56899,-0.100033,17.8537,-4.12868,-0.324906
16975.246000000,-12.5315,-5.57955,-0.100033,18.0129,-4.13917,-0.327812
16975.450000000,-12.3761,-5.59028,-0.100033,18.1346,-4.1484,-0.334717
16975.620000000,-12.2449,-5.59934,-0.100033,18.2565,-4.1587,-0.339016
16975.824000000,-12.0859,-5.61032,-0.100033,18.3989,-4.16923,-0.342823
16975.994000000,-11.952,-5.61957,-0.100033,18.5431,-4.17834,-0.349389
16976.198000000,-11.7911,-5.63057,-0.099495,18.7358,-4.1925,-0.353829
16976.402000000,-11.6375,-5.64122,-0.100033,18.8827,-4.19959,-0.362301
16976.606000000,-11.4861,-5.65097,-0.100033,19.0342,-4.20625,-0.373166
16976.810000000,-11.3306,-5.66075,-0.100033,19.168,-4.21537,-0.379222
16977.014000000,-11.1703,-5.67086,-0.100033,19.3128,-4.22613,-0.384131
16977.218000000,-11.0057,-5.68124,-0.100033,19.4738,-4.23801,-0.389169
16977.388000000,-10.8657,-5.69007,-0.100033,19.6349,-4.24743,-0.39158
16977.592000000,-10.6947,-5.70086,-0.100033,19.8173,-4.25779,-0.399568
16977.762000000,-10.5498,-5.71,-0.100033,19.9781,-4.26826,-0.408259
16977.966000000,-10.3736,-5.72112,-0.100033,20.1583,-4.27774,-0.414683
16978.170000000,-10.195,-5.73238,-0.100033,20.2988,-4.28715,-0.423753
16978.340000000,-10.0463,-5.7416,-0.0979209,20.449,-4.30301,-0.427743
16978.510000000,-9.90238,-5.75076,-0.0985328,20.5831,-4.3068,-0.435586
16978.714000000,-9.72808,-5.76164,-0.100033,20.7352,-4.31762,-0.432132
16978.918000000,-9.55159,-5.77266,-0.100033,20.9556,-4.33111,-0.440208
16979.122000000,-9.37273,-5.78382,-0.100033,21.152,-4.3413,-0.454511
16979.326000000,-9.19178,-5.79512,-0.100033,21.3174,-4.35223,-0.465262
16979.530000000,-9.00899,-5.80653,-0.100033,21.4697,-4.36334,-0.472394
16979.700000000,-8.85542,-5.81612,-0.100033,21.6102,-4.37304,-0.474253
16979.904000000,-8.66984,-5.8277,-0.100033,21.8039,-4.38684,-0.482207
16980.108000000,-8.48301,-5.83936,-0.100033,22.0107,-4.39747,-0.489991
16980.312000000,-8.2951,-5.85109,-0.100033,22.2277,-4.40967,-0.503641
16980.516000000,-8.10625,-5.86288,-0.100033,22.4085,-4.42014,-0.509412
16980.720000000,-7.91662,-5.87472,-0.100033,22.5498,-4.43005,-0.517287
16980.924000000,-7.72631,-5.8866,-0.100033,22.718,-4.44354,-0.523046
16981.128000000,-7.53543,-5.89852,-0.100033,22.9176,-4.45681,-0.530777
16981.298000000,-7.37599,-5.90847,-0.100033,23.1487,-4.46806,-0.540935
16981.468000000,-7.21628,-5.91844,-0.100033,23.3202,-4.47662,-0.54931
16981.706000000,-6.99231,-5.93242,-0.100033,23.5291,-4.49037,-0.555998
16981.876000000,-6.83211,-5.94242,-0.100033,23.6569,-4.49895,-0.565691
16982.080000000,-6.63975,-5.95413,-0.100033,23.8087,-4.50768,-0.570738
16982.284000000,-6.44802,-5.96355,-0.100033,24.0191,-4.50426,-0.57678
16982.488000000,-6.25665,-5.96907,-0.100033,24.2618,-4.49467,-0.588253
16982.658000000,-6.09694,-5.97048,-0.100033,24.4215,-4.48286,-0.594098
16982.828000000,-5.93708,-5.96905,-0.100033,24.6184,-4.46722,-0.600611
16983.032000000,-5.7452,-5.96357,-0.100033,24.7427,-4.44635,-0.609056
16983.236000000,-5.5534,-5.954,-0.100033,24.904,-4.42138,-0.610274
16983.440000000,-5.36182,-5.94034,-0.100033,25.0796,-4.3926,-0.615544
16983.644000000,-5.17057,-5.92259,-0.100033,25.3077,-4.35722,-0.624473
16983.814000000,-5.01154,-5.90469,-0.100033,25.525,-4.32178,-0.631115
16984.018000000,-4.8212,-5.87949,-0.100033,25.7278,-4.28271,-0.651185
16984.222000000,-4.63151,-5.85025,-0.100033,25.8557,-4.23632,-0.659923
16984.426000000,-4.44259,-5.81698,-0.100033,26.0058,-4.18959,-0.664639
16984.630000000,-4.25452,-5.77972,-0.100033,26.1941,-4.13755,-0.667083
16984.800000000,-4.09853,-5.74564,-0.100033,26.3801,-4.08406,-0.670244
16985.004000000,-3.91229,-5.70112,-0.100033,26.6092,-4.0258,-0.68215
16985.174000000,-3.75796,-5.66103,-0.100033,26.791,-3.96889,-0.68871
16985.378000000,-3.57387,-5.60937,-0.100033,26.9083,-3.90395,-0.697137
16985.582000000,-3.39108,-5.55386,-0.100033,27.0692,-3.83277,-0.695225
16985.752000000,-3.23981,-5.50469,-0.100033,27.2092,-3.77503,-0.697676
16985.956000000,-3.05962,-5.44222,-0.100033,27.3903,-3.69873,-0.702063
16986.160000000,-2.88096,-5.37601,-0.100033,27.5862,-3.62018,-0.722125
16986.330000000,-2.73331,-5.31801,-0.100033,27.7695,-3.53704,-0.730588
16986.534000000,-2.55767,-5.24505,-0.100033,27.8743,-3.45911,-0.735498
16986.738000000,-2.38379,-5.16848,-0.100033,28.0328,-3.36681,-0.742249
16986.908000000,-2.24028,-5.10195,-0.100033,28.1983,-3.27829,-0.742045
16987.146000000,-2.04158,-5.00468,-0.100033,28.3873,-3.17542,-0.747433
16987.282000000,-1.92923,-4.94697,-0.100033,28.5065,-3.09638,-0.753894
16987.486000000,-1.7624,-4.85754,-0.100033,28.7011,-2.99519,-0.764637
16987.690000000,-1.59766,-4.76472,-0.100033,28.8224,-2.89069,-0.769222
16987.894000000,-1.43506,-4.66856,-0.100033,28.9558,-2.7901,-0.777075
16988.098000000,-1.27468,-4.56911,-0.100033,29.1073,-2.67891,-0.780454
16988.268000000,-1.14277,-4.48376,-0.100033,29.25,-2.57581,-0.785658
16988.472000000,-0.985767,-4.37826,-0.100033,29.3979,-2.46572,-0.78685
16988.642000000,-0.855177,-4.28888,-0.100033,29.5566,-2.36446,-0.792638
16988.812000000,-0.724816,-4.19948,-0.100033,29.6628,-2.27106,-0.799798
16989.016000000,-0.568603,-4.09246,-0.100033,29.7801,-2.17056,-0.801635
16989.220000000,-0.412628,-3.98564,-0.100033,29.9385,-2.06164,-0.808025
16989.424000000,-0.25688,-3.87901,-0.100033,30.135,-1.95129,-0.819896
16989.594000000,-0.127042,-3.79099,-0.100033,30.2798,-1.8691,-0.823575
16989.798000000,0.0293779,-3.68816,-0.100033,30.4456,-1.78076,-0.835172
16990.036000000,0.214054,-3.5726,-0.100033,30.5894,-1.69011,-0.84151
16990.240000000,0.374523,-3.47721,-0.100033,30.7541,-1.60813,-0.848526
16990.410000000,0.509682,-3.40031,-0.100033,30.9339,-1.53237,-0.860379
16990.614000000,0.673505,-3.31117,-0.100033,31.1097,-1.46067,-0.872802
16990.818000000,0.839039,-3.2255,-0.100033,31.2879,-1.3899,-0.8847
16991.022000000,1.00621,-3.14332,-0.100033,31.4762,-1.32308,-0.897432
16991.192000000,1.14672,-3.07753,-0.100033,31.5973,-1.266,-0.901165
16991.396000000,1.31669,-3.00183,-0.100033,31.7511,-1.20967,-0.906471
16991.600000000,1.48809,-2.92971,-0.100033,31.9433,-1.14837,-0.920284
16991.770000000,1.63196,-2.87235,-0.100033,32.1064,-1.10247,-0.931393
16991.974000000,1.80577,-2.80684,-0.100033,32.2815,-1.05777,-0.936711
16992.144000000,1.95154,-2.75503,-0.100033,32.4514,-1.01253,-0.953669
16992.348000000,2.1275,-2.6962,-0.100033,32.5921,-0.970201,-0.96385
16992.552000000,2.30453,-2.64105,-0.100033,32.7697,-0.929252,-0.970297
16992.756000000,2.48256,-2.58958,-0.100033,32.9712,-0.891997,-0.986065
16992.994000000,2.6914,-2.53422,-0.100033,33.1734,-0.857156,-0.994998
16993.198000000,2.87131,-2.4908,-0.100033,33.3771,-0.828386,-1.00898
16993.368000000,3.02181,-2.45746,-0.100033,33.568,-0.804118,-1.02506
16993.572000000,3.20304,-2.42089,-0.100033,33.6802,-0.785046,-1.0331
16993.776000000,3.38487,-2.38806,-0.100033,33.8445,-0.767087,-1.04072
16993.946000000,3.5368,-2.36357,-0.100033,34.021,-0.75443,-1.04658
16994.150000000,3.71812,-2.33795,-0.100033,34.2079,-0.745421,-1.0562
16994.354000000,3.89745,-2.31677,-0.100033,34.4017,-0.741804,-1.0691
16994.558000000,4.07512,-2.29987,-0.100033,34.5053,-0.742206,-1.15637
16994.762000000,4.25121,-2.28705,-0.100033,34.6988,-0.743435,-1.16938
16994.966000000,4.4258,-2.27819,-0.100033,34.8681,-0.754374,-1.10413
16995.102000000,4.54141,-2.27443,-0.100033,34.9896,-0.762769,-1.19026
16995.306000000,4.71369,-2.27192,-0.100033,35.1293,-0.778889,-1.19287
16995.476000000,4.85626,-2.27265,-0.100033,35.2856,-0.791,-1.20588
